y_true,Concrete_Class,y_cb_standard,y_cb_group
40.69,25,39.096992151227376,42.32268562213898
38.6,25,43.911968142596535,42.213557899565465
45.7,25,44.513065014510644,44.13826301131492
39.01,25,35.67858043712385,41.44286783617075
48.85,25,43.6364031151475,43.66284893699565
42.91,25,44.75578722142117,43.56787981647744
30.1,25,34.048939524431376,41.65510701328958
47.92,25,45.37782995723271,43.53780410103211
39.68,25,38.46883425323783,43.297575941947755
39.13,25,38.317945252138166,41.85619981158185
49.68,25,46.86765541645617,46.7107868108984
35.07,25,36.887697638135236,41.62263424030359
51.72,25,48.90683665299663,47.34542281553333
49.88,25,45.41895956858023,46.67262167019471
43.81,25,47.06198206106116,45.124650678049704
51.81,25,51.15439006559009,49.72006357800427
49.46,25,51.295145412350145,47.230203524593755
53.35,25,55.40219902422881,50.16420309394809
37.94,25,40.18316864432613,41.47366906813528
50.88,25,50.07682653290302,48.47425614778365
47.63,25,45.78813145410591,43.69575370085777
47.48,25,48.58826697033191,45.727263549856914
51.63,25,51.160276802185734,47.85191837106503
38.64333333333334,25,38.71050755088303,41.870676005733245
39.81333333333333,25,38.880258451350485,41.8253010306348
39.586666666666666,25,41.39967685296499,42.65009165622682
39.79,25,41.1657599323918,42.690845779755776
38.44,25,40.479000944378996,41.54918737869713
42.93,25,43.65691429702101,44.518378851593496
44.58,25,41.516031830303604,41.88935548495569
30.42,25,30.044258574264628,39.44775300121845
32.02,25,33.479913272038985,41.03892756530942
43.22,25,44.731511855796725,46.977262712719686
51.26,25,49.46793190676783,48.051096027926945
48.67,25,48.95799218407368,49.66184188268595
46.67,25,46.3528527075773,48.93220182516495
38.82,25,39.698623272075366,42.89887396167101
41.2,25,41.14281504984134,42.277187840242625
48.67,25,34.91084219458543,41.21309012504693
46.67,25,39.719040659749616,40.70297765982628
38.82,25,40.897635112197996,41.3571342381573
41.2,25,37.88802079561435,39.32907602724979
41.15,25,41.4237378962427,41.39429879912143
41.15,25,39.942950394623395,44.48894819816181
43.25,25,42.25215185508381,41.19920766819564
43.25,25,42.56305134943478,42.52074080233497
34.9,25,35.40590610221605,41.55316793651432
42.8,25,43.2944725205296,42.117327940513846
42.8,25,43.22886380495662,43.308760535960424
46.5,25,46.21235500475535,42.979717999429276
44.9,25,46.83319242451852,43.70457444237417
44.3,25,44.26377693839442,42.97385016352993
35.8,25,35.92895655920216,41.02518281979769
43.35,25,42.051535927810946,42.56559020982935
40.5,25,34.98067290510751,41.380850337717895
34.5,25,38.73797259767147,40.80806392003722
31.7,25,39.87650427209135,41.7017008778502
40.6,25,41.944203309558745,43.31080532529745
35.6,25,41.910902600578495,43.40250776079559
40.5,25,38.48246972699131,41.919579891089484
32.3,25,31.994223808644065,40.79767748504436
37.7,25,40.62157673606717,43.54928405703113
40.5,25,35.54502374931494,39.64979407802961
34.5,25,31.955261518937338,40.54913065781511
31.7,25,36.364615307327476,41.37494491794947
40.6,25,42.099930292315335,42.94018306371494
35.6,25,41.826114094594345,41.42320285130897
