true_Strength_28d,true_Strength_7d,true_Slump_30,true_Slump_90,pred_Strength_28d,pred_Strength_7d,pred_Slump_30,pred_Slump_90,Concrete_Class
39.13,31.36,200,167,46.07655334472656,37.82542037963867,204.61215209960938,171.63595581054688,25
49.68,40.12,178,153,46.27486038208008,36.072669982910156,188.93276977539062,171.59536743164062,25
35.07,29.76,196,190,46.988014221191406,37.57181167602539,191.30474853515625,173.68069458007812,25
51.72,43.53,205,170,48.230743408203125,38.99467086791992,217.36416625976562,171.85421752929688,25
49.88,41.1,220,165,48.032386779785156,39.133060455322266,212.9874267578125,173.97779846191406,25
43.81,40.26,188,168,47.54116439819336,38.69417190551758,208.6853485107422,174.77471923828125,25
51.81,43.04,190,193,47.871788024902344,40.14384460449219,212.7543182373047,171.775634765625,25
49.46,43.07,200,180,48.511592864990234,40.03550720214844,200.61074829101562,171.4382781982422,25
53.35,44.42,172,102,50.299739837646484,40.84562301635742,209.5659637451172,172.89390563964844,25
37.94,32.87,188,190,48.032386779785156,39.133060455322266,212.9874267578125,173.97779846191406,25
50.88,41.91,162,158,46.19298553466797,38.92338943481445,191.69749450683594,174.81643676757812,25
47.63,38.82,178,155,47.58479690551758,37.75738525390625,192.09031677246094,176.79275512695312,25
47.48,39.95,163,174,46.3892936706543,36.56641387939453,194.9962921142578,181.4891815185547,25
51.63,44.44,168,152,48.387123107910156,38.823753356933594,190.18582153320312,175.4183349609375,25
38.64333333333334,31.39,178,156,47.11123275756836,37.66313934326172,191.27432250976562,173.84133911132812,25
39.81333333333333,32.416666666666664,182,162,47.23426818847656,37.70500564575195,191.09950256347656,173.77114868164062,25
39.586666666666666,34.55,188,164,46.16988754272461,37.216957092285156,191.7040252685547,176.52418518066406,25
39.79,32.776666666666664,180,160,48.01010513305664,38.22509765625,190.23858642578125,173.84059143066406,25
38.44,34.3,195,180,45.909217834472656,35.38277816772461,194.9940948486328,162.65948486328125,25
42.93,37.88,215,170,46.8853645324707,36.07778549194336,203.49847412109375,165.42599487304688,25
44.58,34.91,210,180,45.18240737915039,34.3690185546875,190.80477905273438,163.0197296142578,25
30.42,25.83,215,205,47.275569915771484,36.76594543457031,185.8133087158203,165.41000366210938,25
32.02,22.18,200,200,46.54197692871094,35.8231201171875,191.7049102783203,172.0846710205078,25
43.22,40.27,200,175,44.50248336791992,34.966407775878906,207.8582305908203,177.2772216796875,25
51.26,40.27,190,185,44.75832748413086,35.608123779296875,197.8527374267578,181.1479949951172,25
48.67,45.99,195,170,45.20596694946289,32.846595764160156,201.46273803710938,185.26329040527344,25
46.67,41.3,210,200,45.86547088623047,35.941497802734375,209.96853637695312,170.8914031982422,25
38.82,35.52,210,175,45.72514724731445,32.56257247924805,194.83778381347656,173.33851623535156,25
41.2,36.55,220,175,44.452816009521484,34.06975555419922,184.94976806640625,160.73330688476562,25
48.67,28.4,180,180,45.72514724731445,32.56257247924805,194.83778381347656,173.33851623535156,25
46.67,35.52,190,180,44.45661544799805,35.633705139160156,181.82369995117188,159.7899627685547,25
38.82,36.55,230,180,45.70610809326172,35.086734771728516,188.23275756835938,157.6548614501953,25
41.2,28.4,180,110,41.1610107421875,33.62353515625,177.37571716308594,162.21243286132812,25
41.15,34.5,205,180,44.62348556518555,33.13266372680664,191.24281311035156,169.73175048828125,25
41.15,34.5,225,180,43.14817428588867,36.269676208496094,190.40170288085938,180.5958251953125,25
43.25,33.8,205,175,45.65306854248047,33.77421188354492,194.00535583496094,177.996337890625,25
43.25,33.8,223,230,43.19721984863281,37.74041748046875,191.6995849609375,181.37869262695312,25
34.9,30.6,235,175,43.49700927734375,36.275047302246094,190.93077087402344,186.094970703125,25
42.8,36.0,210,180,47.65302658081055,34.716773986816406,206.38934326171875,191.2825164794922,25
42.8,36.0,190,100,47.68705368041992,34.66696548461914,206.1515655517578,190.79415893554688,25
46.5,39.5,190,175,47.68705368041992,34.66696548461914,206.1515655517578,190.79415893554688,25
44.9,39.3,170,100,45.64030075073242,33.65827560424805,193.7808837890625,177.28045654296875,25
44.3,37.2,160,175,45.85257339477539,32.6636962890625,206.56439208984375,191.62509155273438,25
35.8,30.9,235,215,43.17947769165039,35.09714126586914,192.0939483642578,186.46022033691406,25
