replicate,n_oob,R2,RMSE,MAE,MAPE
62,249,0.9118990780916483,3.189795609579829,2.2691216936704204,4.918389464389696
63,250,0.921470850224248,3.1699837375111564,2.226684805138256,5.065980466674593
64,242,0.9047758047244835,3.292233544003453,2.290150946942636,4.845214395311408
65,237,0.9285383759677958,2.8384060691123305,2.0705435524955367,4.445211952372081
66,261,0.9149852732692979,3.22737909513569,2.391591841856781,5.3032766503934115
67,251,0.9351509403593797,2.7609888981947956,1.942625983001399,4.187117101514564
68,264,0.891129548701519,3.5565614299544093,2.535030133151076,5.5227528799986345
69,260,0.938591797613366,2.8171948384119525,2.083524021583269,4.611803461066788
70,253,0.9256390629926114,2.9811901797770384,2.1716593636511075,4.75974637616375
71,244,0.9304607584415863,2.999919634554174,2.107591729428769,4.765510087339774
72,240,0.912179748535935,2.9489000476462106,2.1710408225496542,4.768847620649292
73,243,0.9101770090592219,3.1610298734775277,2.2025792068429446,4.924032259689562
74,246,0.9153780964862896,3.140481590483465,2.228120027710047,4.8870118394740425
75,253,0.9159267195981835,3.1531183687686597,2.2500250511442133,5.036218574379802
76,260,0.9238798686120451,3.1279902141849694,2.304206716705925,5.029489118020307
77,257,0.9146886452777466,3.141179595030484,2.1942214889193203,4.972054149071066
78,242,0.9371720026513155,2.790264581197859,2.0630433016331824,4.368374129732171
79,232,0.9291320599739613,3.070187201315653,2.1473651596779755,4.450193220499921
80,256,0.9055700546474867,3.4994647683657414,2.3998581769424505,5.18179219491014
81,241,0.9223301675314888,3.136597353641466,2.1881969812706767,4.653915560711278
82,242,0.9041894866085168,3.3854783880955726,2.382387286264246,5.134140483551866
83,247,0.9164961906188894,3.2057119478053218,2.169331022346601,4.816632510687283
84,266,0.9007719728776329,3.243276989686762,2.3053168938147506,4.798015009603112
85,245,0.9274402108422374,2.8410661351130115,1.9990992323595098,4.32383231072134
86,251,0.9329048791884914,2.9177172110865714,2.0933577537114507,4.631728371623906
87,251,0.9092915960591317,3.0947133371403357,2.1027455344646255,4.426074141539525
88,241,0.9032036959605274,3.2279707242881166,2.2288507058941054,4.632242472254152
89,253,0.9256735852870777,3.1794643003646144,2.2662229159781644,5.198122101533601
90,271,0.9165376139062646,3.1789450850756147,2.1782471725934935,4.7071191950543465
91,252,0.9177240760238933,3.1998458655916577,2.259490638297818,5.015671407785366
92,254,0.9161891432196919,3.1880880659500868,2.2833294591670352,4.931963775432624
93,251,0.8908453644155352,3.5354830967933815,2.5258915228504777,5.416723835612328
94,245,0.9143313490120842,3.1946872238819046,2.2667047018533646,5.008010409855886
95,255,0.916262537838689,3.2434254301695833,2.2764316002344094,4.7214482138049
96,238,0.9047300415085628,3.1659080079605735,2.2306267254030643,4.719193961678255
97,236,0.9134987933176071,3.220682710977909,2.1952104243486223,4.700695422897019
98,255,0.927557492093085,3.0078043943813295,2.2099357877934165,4.7714996880373475
99,239,0.9345232465573083,2.6814859748847764,1.899470745021676,4.044094503570095
100,246,0.9060048013505204,3.197820521972238,2.2747101373449228,4.816229454465296
101,266,0.9057967293046939,3.4226472992420094,2.4620768891353806,5.683339616142899
102,229,0.9217830297917445,3.1971066063809417,2.3116685429608137,5.008769751145293
103,252,0.9220453190954773,2.8736278677161553,2.0881422557700935,4.412128927714864
104,263,0.9257574471507262,3.0429490138870277,2.143528369567925,4.725096323853138
105,248,0.9200287339247516,3.0977393416267938,2.196685550331554,4.691157384856808
106,247,0.9060247028446141,3.385859799042905,2.323690556435815,5.155406383271748
107,254,0.9013162316351906,3.37400007469143,2.416633363601832,5.144685818963801
108,266,0.9270139890866426,2.9566844458262187,2.0894863394360357,4.443139264540337
109,243,0.9318167139490834,2.9980265969555493,2.1335973769496572,4.6469042634286115
110,248,0.9396518775012422,2.7302517815296454,1.9624240826637291,4.225599149237298
111,254,0.9275497568890604,2.9790427294376034,2.0971442911489206,4.553819339669469
112,252,0.8997173097154988,3.3676727988901947,2.391303179307554,5.153995836431209
113,253,0.9074810567443126,3.306739825514125,2.3640067221855428,5.227028987023505
114,249,0.9444078176421274,2.7417175603041652,1.9311962574641575,4.166147552454098
115,258,0.9009365114453857,3.406126070778976,2.350912071181861,4.976902479307575
116,244,0.9283808183284725,2.929206745784935,2.1381862312466313,4.933456328274935
117,245,0.9012818584397723,3.465453267015652,2.389391887324625,5.28404815624524
118,241,0.9193366324471516,3.061813333168514,2.2551709239344504,4.85534666537079
119,254,0.9045323981680643,3.4504147950050688,2.3660223816983446,5.276985228863415
120,263,0.9300628846975042,2.9391092235627903,2.0094483226266866,4.347784441416344
121,243,0.9159257733074169,3.118392660637528,2.2534182317043228,5.127531716837779
122,251,0.9129216368664678,3.265620960930386,2.3086885353636317,4.949949106569536
123,245,0.9347211148781374,2.8859269621626242,2.0460752299094858,4.637871299894662
124,241,0.9299495822754871,2.8651548356932963,2.090404372301358,4.630622326977537
125,251,0.9185249399088543,3.2041493766630293,2.258122310173765,5.073201614998844
126,249,0.9201422115549454,3.1301462983700503,2.263567716451002,4.790044787496606
127,272,0.8982596408152737,3.2730341464265016,2.2623224819968124,4.658943367515775
